plik,wierność_%,typ
adhd/adhd-prokrastynacja,77.2,generator
gad/gad-stepped-care,91.2,generator
bdd-dys/bdd-model-cbt,93.0,ręczny (wzorcowy)
bdd-dys/bdd-czym-jest,93.7,ręczny (wzorcowy)
bdd-dys/bdd-drabina-ekspozycji,93.7,ręczny (wzorcowy)
bdd-dys/czym-bdd,93.7,ręczny (wzorcowy)
gad/gad-tipp,96.0,generator
bdd-dys/bdd-a-inne-zaburzenia,96.4,generator
bdd-dys/bdd-restrukturyzacja,97.2,generator
gad/gad-oddychanie,97.3,generator
bdd-dys/bdd-neurobiologia,97.7,generator
gad/gad-aktywnosc-fizyczna,97.7,generator
bdd-dys/bdd-mit-operacji,98.0,generator
bdd-dys/bdd-u-mlodziezy,98.1,generator
gad/gad-zachowania-zabezp,98.5,generator
att-anxious/aa-samoreg,98.6,generator
gad/gad-podloze-gad,98.7,generator
bdd-dys/bdd-najczestsze-obszary,98.8,generator
bdd-dys/bdd-mapowanie-zachowan,98.9,generator
bdd-dys/bdd-unikanie,98.9,generator
adhd/adhd-relacje,99.0,generator
gad/gad-mapa-martwienia,99.2,ręczny (wzorcowy)
bdd-dys/bdd-mirror-retraining,99.3,generator
gad/gad-wartosci,99.4,generator
gad/gad-defuzja,99.5,ręczny (wzorcowy)
gad/gad-pmr,99.5,generator
ocpd/interpersonalne-ocpd,99.5,generator
ocpd/ocpd-interpersonalne,99.5,generator
bdd-dys/bdd-powrot-po-nawrotcie,99.7,generator
ocpd/ocpd-praca-zycie,99.7,generator
bdd-dys/bdd-wycofanie-zapewnien,100.0,generator
